,Menu,Calories
125,Tazo® Green Tea Latte2% Milk,350
126,Tazo® Green Tea LatteSoymilk,310
127,Tazo® Green Tea LatteVenti Nonfat Milk,370
128,Tazo® Green Tea Latte2% Milk,450
129,Tazo® Green Tea LatteSoymilk,390
130,Tazo® Full-Leaf Tea LatteShort Nonfat Milk,80
131,Tazo® Full-Leaf Tea Latte2% Milk,90
132,Tazo® Full-Leaf Tea LatteSoymilk,80
133,Tazo® Full-Leaf Tea LatteTall Nonfat Milk,120
134,Tazo® Full-Leaf Tea Latte2% Milk,140
135,Tazo® Full-Leaf Tea LatteSoymilk,130
136,Tazo® Full-Leaf Tea LatteGrande Nonfat Milk,150
137,Tazo® Full-Leaf Tea Latte2% Milk,190
138,Tazo® Full-Leaf Tea LatteSoymilk,170
139,Tazo® Full-Leaf Tea LatteVenti Nonfat Milk,190
140,Tazo® Full-Leaf Tea Latte2% Milk,230
141,Tazo® Full-Leaf Tea LatteSoymilk,210
142,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)Short Nonfat Milk,80
143,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)2% Milk,90
144,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)Soymilk,80
145,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)Tall Nonfat Milk,120
146,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)2% Milk,140
147,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)Soymilk,130
148,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)Grande Nonfat Milk,150
149,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)2% Milk,190
150,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)Soymilk,170
151,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)Venti Nonfat Milk,190
152,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)2% Milk,230
153,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos)Soymilk,210
154,Iced Brewed Coffee (With Classic Syrup)Tall,60
155,Iced Brewed Coffee (With Classic Syrup)Grande,90
156,Iced Brewed Coffee (With Classic Syrup)Venti,130
157,Iced Brewed Coffee (With Milk & Classic Syrup)Tall Nonfat Milk,80
158,Iced Brewed Coffee (With Milk & Classic Syrup)2% Milk,90
159,Iced Brewed Coffee (With Milk & Classic Syrup)Soymilk,80
160,Iced Brewed Coffee (With Milk & Classic Syrup)Grande Nonfat Milk,110
161,Iced Brewed Coffee (With Milk & Classic Syrup)2% Milk,120
162,Iced Brewed Coffee (With Milk & Classic Syrup)Soymilk,110
163,Iced Brewed Coffee (With Milk & Classic Syrup)Venti Nonfat Milk,160
164,Iced Brewed Coffee (With Milk & Classic Syrup)2% Milk,180
165,Iced Brewed Coffee (With Milk & Classic Syrup)Soymilk,170
166,Shaken Iced Tazo® Tea (With Classic Syrup)Tall,60
167,Shaken Iced Tazo® Tea (With Classic Syrup)Grande,80
168,Shaken Iced Tazo® Tea (With Classic Syrup)Venti,120
169,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)Tall,100
170,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)Grande,130
171,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup)Venti,190
172,Banana Chocolate SmoothieGrande Nonfat Milk,280
173,Banana Chocolate Smoothie2% Milk,300
174,Banana Chocolate SmoothieSoymilk,290
175,Orange Mango Banana SmoothieGrande Nonfat Milk,260
176,Orange Mango Banana Smoothie2% Milk,270
177,Orange Mango Banana SmoothieSoymilk,270
178,Strawberry Banana SmoothieGrande Nonfat Milk,290
179,Strawberry Banana Smoothie2% Milk,290
180,Strawberry Banana SmoothieSoymilk,290
181,CoffeeTall Nonfat Milk,160
182,CoffeeWhole Milk,180
183,CoffeeSoymilk,160
184,CoffeeGrande Nonfat Milk,220
185,CoffeeWhole Milk,240
186,CoffeeSoymilk,220
187,CoffeeVenti Nonfat Milk,310
188,CoffeeWhole Milk,350
189,CoffeeSoymilk,310
190,Mocha (Without Whipped Cream)Tall Nonfat Milk,180
191,Mocha (Without Whipped Cream)Whole Milk,200
192,Mocha (Without Whipped Cream)Soymilk,180
